variable	form	section_header	branch
bvmt_tot_raw	neuropsych_tests	NA	bvmt
bvmt_tot_ss	neuropsych_tests	NA	bvmt
bvmt_delay_raw	neuropsych_tests	NA	bvmt
bvmt_delay_ss	neuropsych_tests	NA	bvmt
bvmt_rec_raw	neuropsych_tests	NA	bvmt
bvmt_rec_perc	neuropsych_tests	NA	bvmt
bnt_ver	neuropsych_tests	NA	bnt
bnt_raw	neuropsych_tests	NA	bnt
bnt_ss	neuropsych_tests	NA	bnt
bdae_cim_raw	neuropsych_tests	NA	bdae
bdae_cim_ss	neuropsych_tests	NA	bdae
bdae_rs_raw	neuropsych_tests	NA	bdae
bdae_rn_raw	neuropsych_tests	NA	bdae
bdae_rn_class	neuropsych_tests	NA	bdae
bdae_ct_raw	neuropsych_tests	NA	bdae
bdae_sp_raw	neuropsych_tests	NA	bdae
bdae_praxis_ng_raw	neuropsych_tests	NA	bdae
bdae_praxis_cg_raw	neuropsych_tests	NA	bdae
bdae_praxis_upo_raw	neuropsych_tests	NA	bdae
bdae_praxis_bfrm_raw	neuropsych_tests	NA	bdae
bdae_wc_raw	neuropsych_tests	NA	bdae
wratread_form	neuropsych_tests	NA	wrat
wratread_raw	neuropsych_tests	NA	wrat
wratread_ss	neuropsych_tests	NA	wrat
wjiii_wa_raw	neuropsych_tests	NA	wjiii
wjiii_wa_ss	neuropsych_tests	NA	wjiii
clock_score	neuropsych_tests	NA	clock
clock_time	neuropsych_tests	NA	clock
clock_class	neuropsych_tests	NA	clock
jlo_form	neuropsych_tests	NA	jlo
jlo_raw	neuropsych_tests	NA	jlo
jlo_ss	neuropsych_tests	NA	jlo
sdmt_writ_raw	neuropsych_tests	NA	sdmt
sdmt_writ_ss	neuropsych_tests	NA	sdmt
sdmt_oral_raw	neuropsych_tests	NA	sdmt
sdmt_oral_ss	neuropsych_tests	NA	sdmt
pasat_form	neuropsych_tests	NA	pasat
pasat_3srate_raw	neuropsych_tests	NA	pasat
pasat_3srate_ss	neuropsych_tests	NA	pasat
pasat_2srate_raw	neuropsych_tests	NA	pasat
pasat_2srate_ss	neuropsych_tests	NA	pasat
cpt3_disc_ss	neuropsych_tests	NA	cpt3
